Gene,CPU_Score,GPU_Score,CPU_Rank,GPU_Rank,Rank_Diff,Score_Diff,Rel_Diff_%
4732440D04Rik,2.783,3.238,1,1,0,0.45500000000000007,16.34926338483651
Npbwr1,2.578,2.8890000000000002,2,2,0,0.3110000000000004,12.06361520558574
St18,2.503,1.6,3,3,0,0.903,36.07670795045944
Gm26901,2.251,1.479,4,4,0,0.7719999999999998,34.2958685028876
Oprk1,1.537,1.431,5,5,0,0.10599999999999987,6.896551724137923
Xkr4,1.427,1.234,6,6,0,0.19300000000000006,13.524877365101615
Sox17,1.368,1.037,7,7,0,0.3310000000000002,24.195906432748547
Sntg1,0.992,0.971,8,8,0,0.02100000000000002,2.1169354838709697
Lypla1,0.835,0.752,9,9,0,0.08299999999999996,9.940119760479039
Rgs20,0.786,0.6890000000000001,10,10,0,0.09699999999999998,12.34096692111959
Mrpl15,0.687,0.613,11,11,0,0.07400000000000007,10.771470160116458
Pcmtd1,0.684,0.591,12,12,0,0.09300000000000008,13.596491228070187
Tcea1,0.601,0.5690000000000001,13,13,0,0.03199999999999992,5.324459234608971
Rb1cc1,0.598,0.554,14,14,0,0.04399999999999993,7.357859531772563
Atp6v1h,0.47800000000000004,0.47300000000000003,15,15,0,0.0050000000000000044,1.0460251046025113
